Country,Region,Happiness.Rank,Happiness.Score,Economy,Family,Health,Freedom,Government.Corruption,Generosity,Dystopia.Residual
Denmark,Western Europe,1,7.53,1.44,1.16,0.8,0.58,0.44,0.36,2.74
Switzerland,Western Europe,2,7.51,1.53,1.15,0.86,0.59,0.41,0.28,2.69
Iceland,Western Europe,3,7.5,1.43,1.18,0.87,0.57,0.15,0.48,2.83
Norway,Western Europe,4,7.5,1.58,1.13,0.8,0.6,0.36,0.38,2.66
Finland,Western Europe,5,7.41,1.41,1.13,0.81,0.57,0.41,0.25,2.83
Canada,North America,6,7.4,1.44,1.1,0.83,0.57,0.31,0.45,2.7
Netherlands,Western Europe,7,7.34,1.46,1.03,0.81,0.55,0.3,0.47,2.71
New Zealand,Australia and New Zealand,8,7.33,1.36,1.17,0.83,0.58,0.42,0.49,2.48
Australia,Australia and New Zealand,9,7.31,1.44,1.1,0.85,0.57,0.32,0.47,2.55
Sweden,Western Europe,10,7.29,1.45,1.09,0.83,0.58,0.41,0.38,2.55
Israel,Middle East and Northern Africa,11,7.27,1.34,1,0.85,0.36,0.09,0.32,3.31
Austria,Western Europe,12,7.12,1.45,1.08,0.81,0.54,0.21,0.33,2.69
United States,North America,13,7.1,1.51,1.05,0.78,0.48,0.15,0.41,2.73
Costa Rica,Latin America and Caribbean,14,7.09,1.07,1.02,0.76,0.55,0.11,0.23,3.35
Puerto Rico,Latin America and Caribbean,15,7.04,1.36,1.08,0.78,0.47,0.12,0.22,3.01
Germany,Western Europe,16,6.99,1.45,1.1,0.81,0.53,0.29,0.3,2.51
Brazil,Latin America and Caribbean,17,6.95,1.09,1.04,0.61,0.4,0.14,0.16,3.51
Belgium,Western Europe,18,6.93,1.43,1.05,0.82,0.51,0.26,0.24,2.61
Ireland,Western Europe,19,6.91,1.48,1.16,0.81,0.54,0.3,0.45,2.16
Luxembourg,Western Europe,20,6.87,1.7,1.04,0.85,0.55,0.35,0.28,2.11
Mexico,Latin America and Caribbean,21,6.78,1.12,0.71,0.71,0.38,0.18,0.12,3.56
Singapore,Southeastern Asia,22,6.74,1.65,0.87,0.95,0.49,0.47,0.33,1.99
United Kingdom,Western Europe,23,6.72,1.4,1.09,0.81,0.5,0.27,0.5,2.15
Chile,Latin America and Caribbean,24,6.7,1.22,0.91,0.82,0.38,0.11,0.32,2.96
Panama,Latin America and Caribbean,25,6.7,1.18,0.99,0.71,0.49,0.08,0.24,3.01
Argentina,Latin America and Caribbean,26,6.65,1.15,1.07,0.7,0.42,0.07,0.11,3.13
Czech Republic,Central and Eastern Europe,27,6.6,1.31,1.01,0.76,0.41,0.04,0.1,2.96
United Arab Emirates,Middle East and Northern Africa,28,6.57,1.57,0.87,0.73,0.56,0.36,0.27,2.22
Uruguay,Latin America and Caribbean,29,6.54,1.18,1.03,0.72,0.54,0.21,0.18,2.67
Malta,Western Europe,30,6.49,1.31,1.1,0.8,0.55,0.18,0.56,1.99
Colombia,Latin America and Caribbean,31,6.48,1.03,1.02,0.6,0.45,0.05,0.16,3.17
France,Western Europe,32,6.48,1.39,1.01,0.84,0.47,0.18,0.12,2.47
Thailand,Southeastern Asia,33,6.47,1.09,1.04,0.65,0.5,0.03,0.59,2.58
Saudi Arabia,Middle East and Northern Africa,34,6.38,1.49,0.85,0.59,0.38,0.3,0.15,2.61
Taiwan,Eastern Asia,34,6.38,1.4,0.93,0.8,0.32,0.07,0.25,2.62
Qatar,Middle East and Northern Africa,36,6.38,1.82,0.88,0.72,0.57,0.48,0.32,1.58
Spain,Western Europe,37,6.36,1.34,1.13,0.88,0.38,0.06,0.18,2.4
Algeria,Middle East and Northern Africa,38,6.36,1.05,0.83,0.62,0.21,0.16,0.07,3.41
Guatemala,Latin America and Caribbean,39,6.32,0.83,0.87,0.54,0.5,0.09,0.29,3.2
Suriname,Latin America and Caribbean,40,6.27,1.1,0.78,0.51,0.52,0.13,0.17,3.07
Kuwait,Middle East and Northern Africa,41,6.24,1.62,0.88,0.64,0.43,0.24,0.16,2.28
Bahrain,Middle East and Northern Africa,42,6.22,1.44,0.94,0.66,0.47,0.26,0.17,2.27
Trinidad and Tobago,Latin America and Caribbean,43,6.17,1.33,0.99,0.53,0.48,0.01,0.32,2.51
Venezuela,Latin America and Caribbean,44,6.08,1.13,1.03,0.62,0.2,0.08,0.04,2.97
Slovakia,Central and Eastern Europe,45,6.08,1.28,1.08,0.7,0.23,0.03,0.14,2.61
El Salvador,Latin America and Caribbean,46,6.07,0.87,0.81,0.6,0.37,0.11,0.09,3.22
Malaysia,Southeastern Asia,47,6,1.25,0.88,0.62,0.39,0.09,0.41,2.35
Nicaragua,Latin America and Caribbean,48,5.99,0.69,0.9,0.65,0.47,0.16,0.3,2.82
Uzbekistan,Central and Eastern Europe,49,5.99,0.74,1.17,0.5,0.61,0.28,0.34,2.35
Italy,Western Europe,50,5.98,1.35,1.04,0.85,0.19,0.03,0.17,2.35
Ecuador,Latin America and Caribbean,51,5.98,0.97,0.86,0.69,0.4,0.18,0.1,2.77
Belize,Latin America and Caribbean,52,5.96,0.88,0.69,0.46,0.51,0.11,0.24,3.08
Japan,Eastern Asia,53,5.92,1.38,1.06,0.91,0.47,0.19,0.1,1.81
Kazakhstan,Central and Eastern Europe,54,5.92,1.23,0.96,0.57,0.41,0.11,0.15,2.49
Moldova,Central and Eastern Europe,55,5.9,0.69,0.83,0.52,0.25,0.02,0.2,3.38
Russia,Central and Eastern Europe,56,5.86,1.23,1.05,0.59,0.33,0.04,0.03,2.59
Poland,Central and Eastern Europe,57,5.84,1.25,1.05,0.69,0.45,0.06,0.14,2.2
South Korea,Eastern Asia,57,5.84,1.36,0.72,0.89,0.25,0.08,0.19,2.35
Bolivia,Latin America and Caribbean,59,5.82,0.79,0.84,0.47,0.51,0.08,0.22,2.92
Lithuania,Central and Eastern Europe,60,5.81,1.27,1.06,0.65,0.19,0.02,0.02,2.61
Belarus,Central and Eastern Europe,61,5.8,1.13,1.05,0.63,0.29,0.17,0.14,2.39
North Cyprus,Western Europe,62,5.77,1.31,0.82,0.84,0.44,0.17,0.26,1.93
Slovenia,Central and Eastern Europe,63,5.77,1.3,1.06,0.79,0.53,0.04,0.26,1.8
Peru,Latin America and Caribbean,64,5.74,1,0.81,0.63,0.38,0.05,0.15,2.73
Turkmenistan,Central and Eastern Europe,65,5.66,1.08,1.04,0.44,0.37,0.28,0.23,2.21
Mauritius,Sub-Saharan Africa,66,5.65,1.14,0.76,0.66,0.46,0.05,0.37,2.2
Libya,Middle East and Northern Africa,67,5.62,1.07,0.95,0.52,0.41,0.1,0.17,2.39
Latvia,Central and Eastern Europe,68,5.56,1.22,0.95,0.64,0.28,0.09,0.17,2.21
Cyprus,Western Europe,69,5.55,1.32,0.71,0.85,0.3,0.05,0.28,2.04
Paraguay,Latin America and Caribbean,70,5.54,0.89,1.11,0.58,0.46,0.07,0.25,2.16
Romania,Central and Eastern Europe,71,5.53,1.17,0.73,0.68,0.37,0.01,0.13,2.45
Estonia,Central and Eastern Europe,72,5.52,1.28,1.05,0.68,0.42,0.19,0.08,1.82
Jamaica,Latin America and Caribbean,73,5.51,0.89,0.96,0.59,0.44,0.04,0.22,2.36
Croatia,Central and Eastern Europe,74,5.49,1.19,0.61,0.71,0.24,0.04,0.18,2.52
Hong Kong,Eastern Asia,75,5.46,1.51,0.87,0.95,0.48,0.32,0.4,0.93
Somalia,Sub-Saharan Africa,76,5.44,0,0.34,0.11,0.57,0.31,0.27,3.84
Kosovo,Central and Eastern Europe,77,5.4,0.9,0.66,0.54,0.14,0.07,0.28,2.81
Turkey,Middle East and Northern Africa,78,5.39,1.16,0.88,0.65,0.24,0.12,0.05,2.29
Indonesia,Southeastern Asia,79,5.31,0.95,0.88,0.49,0.39,0,0.57,2.03
Jordan,Middle East and Northern Africa,80,5.3,1,0.86,0.61,0.36,0.13,0.14,2.2
Azerbaijan,Central and Eastern Europe,81,5.29,1.12,0.76,0.55,0.35,0.18,0.06,2.27
Philippines,Southeastern Asia,82,5.28,0.81,0.88,0.47,0.55,0.12,0.22,2.23
China,Eastern Asia,83,5.25,1.03,0.79,0.74,0.44,0.03,0.05,2.17
Bhutan,Southern Asia,84,5.2,0.85,0.91,0.5,0.46,0.16,0.49,1.83
Kyrgyzstan,Central and Eastern Europe,85,5.18,0.56,0.95,0.55,0.4,0.05,0.38,2.28
Serbia,Central and Eastern Europe,86,5.18,1.03,0.81,0.65,0.16,0.04,0.21,2.28
Bosnia and Herzegovina,Central and Eastern Europe,87,5.16,0.93,0.64,0.71,0.1,0,0.3,2.48
Montenegro,Central and Eastern Europe,88,5.16,1.08,0.74,0.64,0.15,0.13,0.17,2.26
Dominican Republic,Latin America and Caribbean,89,5.16,1.03,0.99,0.58,0.52,0.12,0.21,1.7
Morocco,Middle East and Northern Africa,90,5.15,0.84,0.39,0.59,0.26,0.08,0.04,2.95
